"","RMSE","MAPE","data","set"
"min",0,0,"100","true"
"max",0.002,0.002,"100","true"
"median",0,0,"100","true"
"mad",0,0,"100","true"
"min.1",0.008,0.006,"100","alternate"
"max.1",5.459,3.867,"100","alternate"
"median.1",0.029,0.022,"100","alternate"
"mad.1",0.022,0.018,"100","alternate"
"min.2",0.008,0.006,"100","error"
"max.2",0.064,0.048,"100","error"
"median.2",0.056,0.042,"100","error"
"mad.2",0.008,0.006,"100","error"
"min.3",0,0,"50","true"
"max.3",0.003,0.002,"50","true"
"median.3",0,0,"50","true"
"mad.3",0,0,"50","true"
"min.4",0,0,"50","alternate"
"max.4",5.459,3.867,"50","alternate"
"median.4",0.029,0.022,"50","alternate"
"mad.4",0.03,0.023,"50","alternate"
"min.5",0.009,0.006,"50","error"
"max.5",0.712,0.536,"50","error"
"median.5",0.049,0.037,"50","error"
"mad.5",0.019,0.015,"50","error"
"min.6",0,0,"33","true"
"max.6",0.003,0.003,"33","true"
"median.6",0,0,"33","true"
"mad.6",0,0,"33","true"
"min.7",0.008,0.006,"33","alternate"
"max.7",5.56,3.942,"33","alternate"
"median.7",0.029,0.022,"33","alternate"
"mad.7",0.031,0.023,"33","alternate"
"min.8",0.009,0.006,"33","error"
"max.8",0.068,0.051,"33","error"
"median.8",0.056,0.042,"33","error"
"mad.8",0.014,0.01,"33","error"
